Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
1,1,Raw,A,1,S01,0.51,0.3,0.35,7,55,2,0.037634409,0,0,-0.083333333,9.48
1,1,Raw,A,1,S02,0.39,0.39,0.53,6,55,6,0.015500444,0.009503216,0.003906126,0.063161376,7.295127302
1,1,Raw,A,1,S03,0.53,0.2,0.5,4,62.5,1,0,0,0,0,0
1,1,Raw,A,1,S04,0.44,0.35,0.26,6,52.5,9,0.004978287,0.006848256,0.002108522,0.00952381,6.052166507
1,1,Raw,A,1,S05,0.38,0.43,0.29,9,50,6,0.021437198,0.042753931,-0.005624105,0.045707071,8.276393274
1,1,Raw,A,1,S06,0.31,0.19,0.21,4,57.5,1,0,0,0,0,0
1,1,Raw,A,1,S07,0.55,0.57,0.23,7,57.5,2,0,0,0.049450549,0.0625,4.5825
1,1,Raw,A,1,S08,0.24,0.42,0.46,6,55,6,0.01147372,0.032075496,0.027889665,0.063161376,8.963979087
1,1,Raw,A,1,S09,0.25,0.5,0.42,2,62.5,7,0.005952381,0.016778158,0.026847367,0.135714286,6.959609571
1,1,Raw,A,1,S10,0.26,0.3,0.5,2,62.5,7,-0.011795544,0.007757246,0.016954954,0.083333333,6.076146219
1,1,Raw,A,1,S11,0.41,0.42,0.59,8,52.5,2,0.037634409,0.015463918,0,-0.071428571,10.44
1,1,Raw,A,1,S12,0.43,0.29,0.45,1,63.75,5,0.017391304,0.01978022,0,0.2,7.77000588
1,1,Raw,A,1,S13,0.21,0.57,0.16,7,55,1,0,0,0,0,0
1,2,Conceptual,B,1,S01,0.4,0.59,0.21,8,52.5,4,0.015957447,0.401178057,0.159836066,0.05,4.4380875
1,2,Conceptual,B,1,S02,0.35,0.16,0.35,1,61.25,1,0,0,0,0,0
1,2,Conceptual,B,1,S03,0.12,0.31,0.22,3,58.75,2,0.095238095,0.037634409,0.425925926,0.285714286,3.9
1,2,Conceptual,B,1,S04,0.6,0.34,0.52,4,65,4,0.309535951,0.209793351,0.02173913,0.162698413,5.614056
1,2,Conceptual,B,1,S05,0.17,0.1,0.5,1,63.75,3,0,0.377967711,0.384236453,0.333333333,6.1845
1,2,Conceptual,B,1,S06,0.12,0.45,0.43,1,63.75,5,0.452937704,0.143019629,0.174982838,0,4.579283055
1,2,Conceptual,B,1,S07,0.26,0.27,0.25,5,55,2,0,-0.023809524,0.425925926,0.083333333,3.465
1,2,Conceptual,B,1,S08,0.27,0.3,0.36,5,55,4,0.048119991,0.102324263,0.141131021,-0.0625,6.04749
1,2,Conceptual,B,1,S09,0.52,0.55,0.13,5,60,2,0,0,0.235294118,0.222222222,5.28
1,2,Conceptual,B,1,S10,0.23,0.1,0.41,3,58.75,2,0.166666667,-0.014563107,0.020833333,0.285714286,6.84
1,2,Conceptual,B,1,S11,0.6,0.29,0.53,8,57.5,1,0,0,0,0,0
1,2,Conceptual,B,1,S12,0.36,0.31,0.28,9,50,1,0,0,0,0,0
1,2,Conceptual,B,1,S13,0.31,0.59,0.5,4,62.5,2,0,0.214285714,0,0.166666667,2.4
1,2,Conceptual,B,1,S14,0.37,0.45,0.42,1,63.75,1,0,0,0,0,0
1,2,Conceptual,B,1,S15,0.25,0.79,0.44,2,68.75,1,0,0,0,0,0
1,1,Raw,A,2,S01,0.53,0.35,0.2,2,62.5,1,0,0,0,0,0
1,1,Raw,A,2,S02,0.55,0.25,0.49,5,60,7,0.005861264,0.030951383,0.046140301,0.023809524,7.138414271
1,1,Raw,A,2,S03,0.23,0.19,0.35,2,60,3,0,0.013888889,-0.006341734,0.194444444,5.8753
1,1,Raw,A,2,S04,0.47,0.17,0.24,7,55,9,0.022199411,0.01975615,0.012260587,0.023589065,6.184453326
1,1,Raw,A,2,S05,0.43,0.33,0.48,6,55,6,0.010455432,0.020694933,-0.005818565,0.044642857,8.608548778
1,1,Raw,A,2,S06,0.51,0.27,0.54,9,55,9,0.011883226,0.023734168,0.027203987,0.029236813,7.288559212
1,1,Raw,A,2,S07,0.59,0.49,0.29,9,55,2,0,0.026315789,0,0,10.68
1,1,Raw,A,2,S08,0.15,0.36,0.57,6,55,7,-0.00146347,0.022993827,0.010752688,0.05255102,6.338279497
1,1,Raw,A,2,S09,0.37,0.15,0.44,1,61.25,6,0.031955031,0.019081208,0.00877193,0.138888889,7.00251536
1,1,Raw,A,2,S10,0.26,0.23,0.56,2,62.5,2,0.049450549,0,0.010204082,0,12.20625
1,1,Raw,A,2,S11,0.46,0.51,0.19,2,65,8,0.016536014,0.022656846,0.038583208,-0.020833333,5.706840161
1,1,Raw,A,2,S12,0.15,0.28,0.29,6,52.5,2,0.026315789,0.015463918,-0.041284404,0,4.14
1,1,Raw,A,2,S13,0.27,0.4,0.49,4,60,9,0.021076943,0.033643678,0.009237861,0.070502646,7.572721813
1,2,Conceptual,B,2,S01,0.77,0.82,0.8,6,78.75,4,0.066455696,0.14978903,0.153225806,0.123106061,5.7911625
1,2,Conceptual,B,2,S02,0.34,0.34,0.3,5,55,3,-0.027522936,0,-0.027522936,0,7.35745
