Study #,Group,Treatment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
1,2,Conceptual,5,7,5,5,6,7,6,6,6,,,
1,2,Conceptual,5,3,7,5,6,7,5,6,6,,,
1,2,Conceptual,7,5,4,4,4,4,7,7,7,,,
1,2,Conceptual,6,4,6,4,7,7,5,6,7,,,
1,2,Conceptual,7,7,7,7,7,7,6,6,6,,,
1,2,Conceptual,5,7,5,5,6,7,6,6,6,,,
1,2,Conceptual,5,3,7,5,6,7,5,6,6,,,
1,2,Conceptual,7,5,4,4,4,4,7,7,7,,,
1,2,Conceptual,6,4,6,4,7,7,5,6,7,,,
1,2,Conceptual,7,7,7,7,7,7,6,6,6,,,
1,2,Conceptual,6,6,6,6,5,5,7,7,7,,,
1,2,Conceptual,2,3,1,1,1,2,2,3,1,,,
1,2,Conceptual,3,4,5,3,5,5,3,6,3,,,
1,2,Conceptual,6,6,6,6,5,5,7,7,7,,,
1,1,Detailed/Raw,2,3,1,1,1,2,2,3,1,,,
1,1,Detailed/Raw,3,4,5,3,5,5,3,6,3,,,
1,1,Detailed/Raw,6,6,6,6,5,5,7,7,,,,
1,1,Detailed/Raw,2,3,1,1,1,2,2,3,,,,
1,1,Detailed/Raw,3,4,5,3,5,5,3,6,,,,
1,1,Detailed/Raw,6,6,6,6,5,5,7,7,,,,
1,1,Detailed/Raw,2,3,1,1,1,2,2,3,,,,
1,1,Detailed/Raw,3,4,5,3,5,5,3,6,,,,
1,2,Conceptual,5,7,5,5,6,7,6,6,6,,,
1,2,Conceptual,7,5,4,4,4,4,7,7,7,,,
1,2,Conceptual,7,7,7,7,7,7,6,6,6,,,
1,2,Conceptual,5,3,7,5,6,7,5,6,6,,,
1,2,Conceptual,7,5,4,4,4,4,7,7,7,,,
1,2,Conceptual,6,6,6,6,5,5,7,7,7,,,
1,1,Detailed/Raw,6,6,6,6,5,5,7,7,,,,
1,1,Detailed/Raw,2,3,1,1,1,2,2,3,,,,
1,1,Detailed/Raw,6,6,6,6,5,5,7,7,,,,
1,1,Detailed/Raw,2,3,1,1,1,2,2,3,,,,
2,2,Conceptual,5,7,5,5,6,7,6,6,6,I was able to see the fact that there are some functions that I didn't think I needed to test since I thought they were very easily coded which meant that I wouldn't need to test them. ,"There wasn't specific instructions on what type of file had to be uploaded. For that reason, I received some errors since I uploaded my files but not in a zipped format.","Overall, everything was good but I would suggest for it to have some instructions in case someone didn't go to class and is trying to figure out the website by themselves. It doesn't need a lot of instructions because most of it doesn't need much pointers. "
2,2,Conceptual,5,3,7,5,6,7,5,6,6,knowing what tests that haven't covered certain functions and seeing where errors might be showing up.,Knowing what to cover and all the functions and the functionality of the functions. Someone in the software testing would need to know the in and out of the program to fully test the program and cover most of the errors.,it is interesting for someone to test a lot of the functionality and hopefully cover everything in a short amount of time.
2,2,Conceptual,7,5,4,4,4,4,7,7,7,Some of the most powerful learning moments in using Testing Tutor were the specific code coverage percentage and redundancy tests which allowed me to test out different testing strategies by writing as less code as possible trying to hit most (all) branches.,"Some of the most challenging moments were the machine error on the website which slowed down progress. However that is a fixable thing, which is good.",Most of my grades for 1 - 10 would increase if we had used Testing Tutor for longer periods of time.
